CITY, POPULATION
Acalanes Ridge, 1137
Acampo, 341
Acton, 7596
Adelanto, 31239
Adin-Lookout, 789
Adin, 272
Agoura Hills, 20657
Agua Dulce, 3342
Aguanga, 1128
Ahwahnee, 2246
Airport, 1964
Alameda, 75641
Alamo, 14570
Albany, 18969
Alhambra Valley, 924
Alhambra, 84322
Aliso Viejo, 49493
Allendale, 1506
Allensworth, 471
Alondra Park, 8592
Alpaugh, 1026
Alpine, 14236
Alta Sierra, 6911
Altadena, 42777
Alta, 610
Alto, 711
Alturas, 2718
Alum Rock, 15536
American Canyon, 19933
Amesti, 3478
Anaheim, 343248
Anchor Bay, 340
Anderson, 10058
Angels City, 3458
Angels, 3753
Angwin, 3051
Antelope, 45770
Antioch, 105508
Anza-Borrego Springs, 3373
Anza, 3014
Apple Valley, 70700
Aptos Hills-Larkin Valley, 2381
Aptos, 6220
Arbuckle, 3028
Arcadia, 57497
Arcata, 17726
Arden-Arcade, 92186
Armona, 4156
Arnold, 3843
Aromas, 2650
Arrowhead, 28450
Arroyo Grande, 17543
Artesia, 16682
Artois, 295
Arvin, 20127
Ashland, 21925
Atascadero, 28814
Atherton, 7191
Atwater, 28742
Auberry, 2369
Auburn Lake Trails, 3426
Auburn, 13676
August, 8390
Avalon, 3765
Avenal, 14846
Avery, 646
Avilla Beach, 1627
Avocado Heights, 15411
Azusa, 47407
Bakersfield, 358597
Baker, 735
Baldwin Park, 76419
Ballard, 467
Ballico, 406
Bangor, 646
Banning, 30310
Barstow, 23033
Bass Lake, 527
Bay Point, 21349
Bayview-Montalvin, 5305
Bayview, 2510
Baywood-Los Osos, 15151
Beale AFB, 1319
Bear Creek, 290
Bear Valley Springs, 5172
Beaumont, 39455
Beckwourth, 432
Bell Canyon, 2049
Bell Gardens, 42757
Bella Vista, 2781
Bellflower, 77356
Bell, 35820
Belmont, 26491
Belvedere, 2108
Ben Lomond, 6234
Benbow, 321
Bend, 619
Benicia, 27426
Benton, 280
Berkeley, 115403
Bermuda Dunes, 7282
Berry Creek, 1424
Berryessa, 1732
Bertsch-Oceanview, 2436
Bethel Island, 2137
Beverly Hills, 34622
Bieber, 312
Big Bear City, 12304
Big Bear Lake, 5116
Big Bear, 28837
Big Pine, 1756
Big River, 1327
Big Valley, 1599
Biggs, 1710
Biola, 1623
Bishop, 3864
Black Point-Green Point, 1306
Blackhawk-Camino Tassajara, 10652
Blackhawk, 9354
Blacklake, 930
Bloomfield, 345
Bloomington, 23851
Blue Lake, 1248
Blythe, 20590
Bodega Bay, 1077
Bodega, 220
Bodfish, 1956
Bolinas, 1620
Bombay Beach, 295
Bonadelle Ranchos-Madera Ranchos, 8569
Bonita, 12538
Bonny Doon, 2678
Bonsall, 3982
Boonville, 1035
Bootjack, 960
Boronda, 1710
Boron, 2253
Borrego Springs, 3429
Bostonia, 15379
Boulder Creek, 4923
Boulevard, 315
Boyes Hot Springs, 6656
Bradbury, 1072
Brawley, 25567
Brea, 40330
Brentwood, 53673
Bret Harte, 5152
Bridgeport, 575
Briones, 6817
Brisbane, 4394
Broadmoor, 4176
Brookdale, 1991
Brooktrails, 3235
Buckhorn, 2429
Buellton, 4904
Buena Park, 82155
Buena Vista, 1742
Burbank, 104391
Burlingame, 29660
Burney, 3154
Burnt Ranch, 281
Butte Creek Canyon, 1086
Butte Valley, 1883
Buttonwillow, 1508
Byron, 1277
Bystrom, 4008
Cabazon, 2535
Calabasas, 23954
Calexico, 39310
California City, 13364
California Pines, 520
Calimesa, 8066
Calipatria, 7962
Calistoga, 5208
Callender, 1262
Calpella, 679
Calpine, 205
Calwa, 846
Camanche North Shore, 979
Camanche Village, 847
Camarillo, 65968
Cambrian Park, 3282
Cambria, 6032
Cameron Park, 18228
Camino Tassajara, 2197
Camino, 1750
Camp Pendleton North, 5200
Camp Pendleton South, 10616
Campbell, 40272
Campo, 2684
Canby, 315
Cantua Creek, 466
Canyon Lake, 10861
Capitola, 10012
Carlsbad, 109318
Carmel Valley Village, 4407
Carmel Valley, 6266
Carmel-by-the-Sea, 3807
Carmel, 15677
Carmichael, 61762
Carnelian Bay, 524
Carpinteria Valley, 19142
Carpinteria, 13231
Carson, 93002
Caruthers, 2497
Casa Conejo, 3249
Casa de Oro-Mount Helix, 18762
Caspar, 509
Cassel, 207
Castaic, 19015
Castle Hill, 1299
Castro Valley, 61388
Castroville, 6481
Cathedral City, 52655
Catheys Valley, 825
Cayucos, 2592
Cazadero, 354
Cedar Ridge, 1132
Cedarville, 514
Centerville, 392
Central Coast, 238434
Central Colusa, 10807
Central Contra Costa, 486883
Central Shasta, 11467
Ceres, 45719
Cerritos, 49629
Chalfant, 651
Challenge-Brownsville, 1148
Channel Islands Beach, 3103
Charter Oak, 9310
Cherokee Strip, 227
Cherry Valley, 6362
Cherryland, 14728
Chester, 2144
Chico, 87714
Chilcoot-Vinton, 454
China Lake Acres, 1876
Chino Hills, 76457
Chino, 80164
Chowchilla, 17925
Chualar, 1190
Chuckwalla, 14948
Chula Vista, 252422
Citrus Heights, 84870
Citrus, 10866
Claremont, 35457
Clarksburg, 1567
Clayton, 11318
Clay, 1195
Clearlake Oaks, 2359
Clearlake Riviera, 3090
Clearlake, 15029
Cleone, 618
Cloverdale-Geyserville, 12805
Cloverdale, 8695
Clovis, 98632
Clyde, 678
Coachella Valley, 156830
Coachella, 42734
Coalinga, 16789
Coarsegold, 1840
Coastal, 1177
Cobb, 1778
Coffee Creek, 217
Cohasset, 847
Cold Springs, 446
Coleville, 495
Colfax-Summit, 24007
Colfax, 2006
College City, 290
Collierville, 1934
Colma, 1470
Coloma, 529
Colton, 53123
Columbia, 2297
Colusa, 5962
Commerce, 12954
Compton, 97559
Concord, 124711
Concow, 710
Copperopolis, 3671
Corcoran, 23551
Corning, 7645
Coronado, 23391
Corona, 158391
Coronita, 2608
Corralitos, 2326
Corte Madera, 9377
Costa Mesa, 111918
Cotati, 7360
Coto de Caza, 14866
Cottonwood, 3316
Coulterville, 2969
Coultervillle, 201
Country Club, 9379
Courtland, 355
Covelo, 1255
Covina, 48346
Cowan, 318
Crescent City North, 4214
Crescent City, 7394
Cressey, 394
Crestline, 10770
Crestmore Heights, 384
Crest, 2593
Crockett, 3094
Cromberg, 261
Crowley Lake, 875
Crows Landing, 355
Cudahy, 24021
Culver City, 39313
Cupertino, 60009
Cutler, 5000
Cutten, 3108
Cuyama, 1351
Cypress, 48779
Daly City, 103690
Dana Point, 34048
Danville, 43088
Davenport, 408
Davis, 65993
Day Valley, 3409
Death Valley, 620
Deer Park, 1267
Del Aire, 10001
Del Mar, 4261
Del Monte Forest, 4514
Del Rey Oaks, 1662
Del Rey, 1639
Del Rio, 1270
Delano, 52426
Delft Colony, 454
Delhi, 10755
Delleker, 705
Delta, 5393
Denair, 4404
Derby Acres, 322
Descanso, 1423
Desert Center, 204
Desert Edge, 3822
Desert Hot Springs, 27745
Desert Palms, 6957
Desert Shores, 1104
Desert View Highlands, 2360
Diablo Grande, 826
Diablo Range, 837
Diablo, 1158
Diamond Bar, 56363
Diamond Springs, 11037
Dillon Beach, 283
Dinuba, 22955
Discovery Bay, 13352
Dixon Lane-Meadow Creek, 2645
Dixon, 18660
Dobbins, 624
Dogtown, 2506
Dollar Point, 1215
Donner, 15187
Dorrington, 609
Dorris, 917
Dos Palos Y, 323
Dos Palos, 5044
Douglas City, 713
Downey, 112873
Downieville, 282
Doyle, 678
Duarte, 21657
Dublin, 48775
Ducor, 612
Dunnigan, 1416
Dunsmuir, 1602
Durham, 5518
Dustin Acres, 652
Earlimart, 8537
East Colusa, 9242
East Compton, 9472
East Contra Costa, 78216
East Foothills, 8269
East Hemet, 17418
East Imperial, 1854
East Kern, 82330
East La Mirada, 9757
East Los Angeles, 126496
East Nicolaus, 225
East Oakdale, 2762
East Orosi, 495
East Palo Alto, 28867
East Pasadena, 6144
East Porterville, 6767
East Quincy, 2489
East Rancho Dominguez, 15135
East Richmond Heights, 3280
East San Gabriel Valley, 952352
East San Gabriel, 14874
East Shasta, 9034
East Sierra, 2320
East Sonora-Phoenix Lake, 12519
East Sonora, 2266
East Tehama, 4190
East Tulare Villa, 778
East Yolo, 36296
Easton, 2083
Eastvale, 54635
Edmundson Acres, 279
Edwards AFB, 2063
El Cajon, 101435
El Centro, 43107
El Cerrito, 24048
El Dorado Hills, 42108
El Granada, 5467
El Monte, 115111
El Nido, 330
El Paso de Robles (Paso Robles), 30556
El Portal, 474
El Rio, 7198
El Segundo, 16849
El Sobrante, 12669
El Toro, 178968
El Verano, 4123
Eldridge, 1233
Elizabeth Lake, 1756
Elk Grove, 159038
Elkhorn, 1565
Elsinore Valley, 93311
Elverta, 5492
Emerald Lake Hills, 4278
Emeryville, 10335
Empire, 4189
Encinitas, 60994
Escalon, 7266
Escondido, 147575
Esparto, 3108
Etna, 725
Eucalyptus Hills, 5313
Eureka, 26961
Exeter, 10466
Fair Oaks, 30912
Fairbanks Ranch, 3148
Fairfax, 7534
Fairfield, 107684
Fairmead, 1447
Fairview, 10003
Fall River Mills, 573
Fallbrook, 30534
Farmersville, 10740
Farmington, 207
Feather Falls, 5093
Felton, 4057
Ferndale, 1366
Fetters Hot Springs-Agua Caliente, 4144
Fiddletown, 235
Fieldbrook, 859
Fields Landing, 276
Fillmore, 15162
Firebaugh, 7946
Florence-Graham, 63387
Florin, 47513
Folsom, 73384
Fontana, 201812
Foothill Farms, 33121
Foothill Ranch, 11286
Forbestown, 320
Ford City, 4278
Forest Meadows, 1249
Forest Ranch, 1184
Foresthill-Back Country, 7652
Foresthill, 1483
Forestville, 3293
Fort Bragg, 7252
Fort Irwin, 8845
Fort Jones, 827
Fort Washington, 233
Fortuna, 11836
Foster City, 32129
Fountain Valley, 56464
Fowler, 5939
Franklin, 6149
Frazier Park, 2691
Freedom, 3070
Fremont, 221986
French Camp, 3376
French Gulch, 346
French Valley, 23067
Fresno, 505882
Friant, 509
Fruitdale, 935
Fruitridge Pocket, 5800
Fuller Acres, 991
Fullerton, 138574
Fulton, 541
Galt, 24337
Garberville, 12402
Garden Acres, 10648
Garden Farms, 386
Garden Grove, 174389
Gardena, 59490
Garnet, 7543
Gasquet, 661
Georgetown, 2367
Gerber-Las Flores, 1503
Gerber, 1060
Geyserville, 862
Gilroy, 50660
Glen Avon, 20199
Glen Ellen, 784
Glendale, 194478
Glendora, 50719
Gold River, 7912
Golden Hills, 8656
Goleta, 30289
Gonzales, 8364
Good Hope, 9192
Goshen, 3006
Graeagle, 737
Grand Terrace, 12290
Grangeville, 469
Granite Bay, 20402
Granite Hills, 3035
Grass Valley, 12808
Graton, 1707
Grayson, 952
Greeley Hill, 915
Green Acres, 1805
Green Valley, 1625
Greenacres, 5566
Greenfield-Panama, 20776
Greenfield, 16793
Greenhorn, 236
Greenview, 201
Greenville, 1129
Grenada, 367
Gridley, 6567
Grimes, 391
Grizzly Flats, 1066
Groveland-Big Oak Flat, 3451
Groveland, 4877
Grover Beach, 13342
Guadalupe, 7176
Guerneville, 4534
Guinda, 254
Gustine, 5625
Hacienda Heights, 54038
Half Moon Bay, 11653
Hamilton Branch, 537
Hamilton City, 1759
Hanford, 54324
Happy Camp, 2181
Harbison Canyon, 3841
Hartley, 2510
Hasley Canyon, 1137
Hat Creek, 309
Hawaiian Gardens, 14393
Hawthorne, 85681
Hayfork, 2368
Hayward, 149392
Healdsburg, 11440
Heber, 4275
Hemet, 81046
Herald, 1184
Hercules, 24660
Herlong, 298
Hermosa Beach, 19773
Hesperia, 92062
Hickman, 641
Hidden Hills, 1893
Hidden Meadows, 3485
Hidden Valley Lake, 5579
Highgrove, 3988
Highlands-Baywood Park, 4027
Highland, 54154
Hillsborough, 11144
Hilmar-Irwin, 5197
Hiouchi, 301
Hollister, 36096
Holtville, 6005
Home Gardens, 11570
Home Garden, 1761
Homeland, 5969
Homestead Valley, 3032
Honcut, 370
Honey Lake, 2881
Hood, 271
Hopland, 2212
Hornbrook-Hilt, 751
Hornbrook, 248
Hughson, 6836
Humboldt Hill, 3414
Huntington Beach, 194708
Huntington Park, 58673
Huron, 6798
Hyampom, 241
Hydesville, 1237
Idyllwild-Pine Cove, 3874
Idyllwild, 15608
Imperial Beach, 26845
Imperial, 15665
Independence, 669
Indian Wells, 5126
Indianola, 823
Indio Hills, 972
Indio, 79302
Industry, 222
Inglewood, 111182
Interlaken, 7321
Inverness, 1304
Inyokern, 1099
Ione, 7296
Iron Horse, 297
Irvine, 229985
Irwindale, 1436
Isla Vista, 23096
Isleton, 814
Ivanhoe, 4495
Jackson, 4570
Jacumba, 561
Jamestown, 3433
Jamul, 6163
Janesville, 1408
Johnstonville, 1024
Joshua Tree, 7414
Julian, 1502
Junction City, 680
June Lake, 629
Jurupa, 112225
Keene, 431
Kelly Ridge, 2544
Kelseyville, 3353
Kennedy, 3254
Kensington, 5077
Kentfield, 6485
Kenwood, 1028
Kerman, 14306
Kernville, 1395
Keswick, 451
Kettleman City, 1439
Keyes, 5601
King City, 13169
Kings Beach, 3796
Kingsburg, 11588
Klamath, 779
Knights Landing, 4319
Knightsen, 1568
La Canada Flintridge, 20493
La Crescenta-Montrose, 19653
La Habra Heights, 5411
La Habra, 61392
La Honda, 928
La Mesa, 58160
La Mirada, 49001
La Palma, 15860
La Presa, 34169
La Puente, 40272
La Quinta, 38783
La Riviera, 10802
La Selva Beach, 2843
La Verne, 31348
La Vina, 279
Ladera Heights, 6498
Ladera Ranch, 22980
Ladera, 1426
Lafayette, 24589
Laguna Beach, 23176
Laguna Hills, 30951
Laguna Niguel, 64452
Laguna West-Lakeside, 9395
Laguna Woods, 16493
Laguna, 38309
Lagunitas-Forest Knolls, 1819
Lake Almanor Country Club, 419
Lake Almanor Peninsula, 356
Lake Almanor West, 270
Lake Arrowhead, 12424
Lake California, 3054
Lake Don Pedro, 1077
Lake Elsinore, 55288
Lake Forest, 78853
Lake Hughes, 649
Lake Isabella, 3466
Lake Los Angeles, 12328
Lake Mathews, 21561
Lake Nacimiento, 2411
Lake Riverside, 1173
Lake San Marcos, 4437
Lake Sherwood, 1527
Lake Tahoe, 16057
Lake Wildwood, 4991
Lake of the Pines, 3917
Lake of the Woods, 917
Lakehead-Lakeshore, 601
Lakehead, 461
Lakeland Village, 11541
Lakeport, 4695
Lakeside, 20648
Lakeview, 2104
Lakewood, 80833
Lamont, 15120
Lanare, 589
Lancaster, 159055
Larkfield-Wikiup, 8884
Larkspur, 12099
Las Flores, 5971
Las Lomas, 3024
Las Posas, 4045
Lathrop, 19141
Laton, 1824
Lawndale, 33122
Laytonville-Leggett, 3966
Laytonville, 1227
Le Grand, 1659
Lebec, 1468
Lee Vining, 222
Lemon Cove, 308
Lemon Grove, 25961
Lemon Hill, 13729
Lemoore Station, 7438
Lemoore, 24738
Lennox, 22753
Lenwood, 3543
Leona Valley, 1607
Lewiston, 1193
Lexington Hills, 2421
Lexington, 4009
Lincoln Village, 4381
Lincoln, 44390
Linda Rural, 9329
Linda, 17773
Lindcove, 406
Linden, 1784
Lindsay, 12833
Linnell Camp, 849
Littlerock, 1377
Live Oak, 17158
Livermore, 83547
Livingston, 13538
Llagas-Uvas, 3214
Lockeford, 3233
Lockwood, 379
Lodi, 63301
Loleta, 783
Loma Linda, 23600
Loma Rica, 2368
Lomita, 20533
Lompico, 1137
Lompoc Valley, 58405
Lompoc, 43260
London, 1869
Lone Pine, 2035
Long Beach, 467892
Loomis Basin-Folsom Lake, 89014
Loomis, 6617
Los Alamitos, 11668
Los Alamos, 1890
Los Altos Hills, 8212
Los Altos, 29929
