ZIPCODE,TREND2007,POPULATION,RATIO
94620,5351.399902,-100,-100
90001,0,57110,0
90002,0,51223,0
90008,0,32327,0
90022,0,67179,0
90023,0,45903,0
90038,0,28917,0
90040,0,12520,0
90043,7932,44789,0.177097055080489
90046,0,48581,0
90047,0,48606,0
90048,0,21397,0
90049,0,35482,0
90056,0,7827,0
90061,0,26872,0
90063,0,55758,0
90066,0,55277,0
90069,0,20483,0
90201,0,101279,0
90209,0,-100,-100
90210,14649.59961,21741,0.673823633227542
90211,0,8434,0
90212,5713.199707,11555,0.494435284032886
90213,9372,-100,-100
90220,0,49328,0
90221,0,53704,0
90222,0,31869,0
90230,11942,31766,0.375936535918907
90232,3758.400146,15149,0.248095593504522
90233,0,-100,-100
90240,7090.400391,25876,0.274014545949915
90241,0,42399,0
90242,4713.600098,43497,0.108366096466423
90245,0,16654,0
90247,3829.800049,47487,0.080649441931476
90248,0,9947,0
90249,2555.199951,26669,0.0958116146462185
90250,9675.299805,93193,0.103820027308918
90254,0,19506,0
90255,0,75066,0
90260,0,34924,0
90262,0,69745,0
90263,0,1612,0
90264,0,-100,-100
90265,29877.30078,18116,1.64922172554648
90266,18670.30078,35135,0.531387527536644
90274,9820,25209,0.389543417033599
90275,25786.90039,41804,0.616852463639843
90277,0,35293,0
90278,3775.200195,40071,0.094212777195478
90280,0,94396,0
90290,5270.399902,6368,0.827638175565327
90301,0,36568,0
90302,4919.600098,29415,0.167248006051334
90303,0,26176,0
90304,0,28210,0
90305,0,14853,0
90401,7149.200195,6722,1.06355254314192
90402,6098.799805,12250,0.497861208571429
90403,7596,24525,0.309724770642202
90404,1983,21360,0.0928370786516854
90405,31549.30078,27186,1.16049807915839
90406,0,-100,-100
90501,4360.399902,43180,0.10098193381195
90502,0,18010,0
90503,0,44383,0
90504,2651.400146,32102,0.0825929894087596
90505,0,36678,0
90601,9967.200195,31974,0.311728285325577
90602,5306.399902,25777,0.205857931566901
90603,0,20063,0
90604,0,39407,0
90605,19846.60156,40331,0.492092969675932
90606,0,32396,0
90620,0,45113,0
90621,0,35153,0
90623,7924.899902,15554,0.509508801723029
90630,22947.79883,47993,0.478148872335549
90631,8514,67619,0.125911356275603
90637,0,-100,-100
90638,0,49012,0
90640,0,62549,0
90650,0,105549,0
90657,0,-100,-100
90660,0,62928,0
90670,2100,14866,0.141261939997309
90680,0,29945,0
90700,0,-100,-100
90701,0,16591,0
90703,3832.799805,49399,0.0775886112067046
90704,0,4090,0
90706,0,76615,0
90710,0,25457,0
90711,0,-100,-100
90712,0,31499,0
90713,2653.199951,27925,0.0950116365622202
90715,0,20388,0
90716,0,14184,0
90717,3654.399902,21318,0.171423205835444
90720,1976.399902,21751,0.0908647833203071
90723,0,54099,0
90731,0,59662,0
90740,0,23729,0
90742,0,831,0
90743,0,456,0
90745,7665.599609,57251,0.133894597631482
90746,0,25990,0
90755,0,11074,0
90801,0,-100,-100
90802,0,39347,0
90803,5504.400391,32031,0.171846036371016
90804,0,40311,0
90805,0,93524,0
90806,2683.800049,42399,0.0632986638599967
90807,7092,31481,0.225278739557193
90808,14446.5,38232,0.377864092906466
90810,0,36735,0
90813,0,58911,0
90814,5470.5,19131,0.285949506037322
90815,10165.5,39733,0.255845267158282
90914,0,-100,-100
91001,32141,36126,0.889691634833638
91006,8808,31715,0.277723474696516
91007,13376.19922,34095,0.392321431881508
91008,0,1391,0
91010,3870.300049,26074,0.148435224706604
91011,27391.59961,20280,1.35067059220907
91016,5577,40598,0.137371299078772
91020,0,8415,0
91024,10327.5,10917,0.946001648804617
91030,24907.40039,25616,0.972337616723922
91101,0,20460,0
91104,0,36751,0
91107,2202,32940,0.0668488160291439
91108,1620.900024,13361,0.121315771573984
91214,0,30356,0
91301,50269,25488,1.97226145637163
91302,19742.19922,25709,0.767910040063791
91304,0,50231,0
91307,4644,24474,0.189752390291738
91310,2580.199951,-100,-100
91311,0,36557,0
91319,2580.199951,-100,-100
91320,74007.10156,44274,1.67157025703573
91321,5361,34882,0.15368958201938
91326,4644,33708,0.137771448914204
91340,1545,34188,0.0451912951912952
91342,0,91725,0
91350,30934.90039,33348,0.927638850605733
91351,7372,32362,0.227798034732093
91354,9555.700195,28722,0.332696197862266
91355,17423.19922,32605,0.534372004907223
91360,31145.40039,42402,0.734526682467808
91361,13962.59961,20438,0.683168588413739
91362,42234.19922,36045,1.17170756609793
91364,4228.200195,25851,0.163560411396078
91377,7939.799805,13811,0.574889566649772
91381,39289.69922,20158,1.94908717233853
91384,16785,29855,0.562217384022777
91387,44732.39844,40328,1.10921440289625
91390,62305,19786,3.14894369756393
91701,12025.7998,38976,0.30854371408046
91702,7604.100098,59705,0.127361194171342
91706,0,76571,0
91708,0,3369,0
91709,12184.40039,74796,0.16290176466656
91710,27302.59961,80358,0.339762059906917
91711,37172.39844,35705,1.04109784175886
91714,0,-100,-100
91722,0,34409,0
91723,0,18275,0
91724,5009,26184,0.191300030553009
91729,0,-100,-100
91730,0,66925,0
91731,0,29591,0
91732,0,61386,0
91733,2128.5,43896,0.0484896118097321
91737,9717,24740,0.392764753435732
91739,42940.60156,34794,1.23413811461746
91740,0,25356,0
91741,0,25824,0
91744,0,85040,0
91745,5622.399902,54013,0.104093457167719
91746,0,30485,0
91748,3146,45406,0.0692859974452715
91750,0,33249,0
91752,7445.200195,30047,0.247785143109129
91754,5418,32742,0.165475536008796
91755,1474.400024,27496,0.0536223459412278
91759,0,476,0
91761,0,56913,0
91762,12056,55857,0.215836869148003
91763,0,36375,0
91764,2557.5,54086,0.0472858040897829
91765,10212.7002,46457,0.219831246098543
91766,0,71599,0
91767,5367.399902,48068,0.111662642548057
91768,1062.599976,34537,0.0307670028085821
91769,6483.600098,-100,-100
91770,0,62097,0
91773,0,33119,0
91775,5923.599609,23988,0.246940120435218
91776,0,38475,0
91780,5205.199707,34332,0.151613646364907
91784,13275.59961,25938,0.511820479990747
91786,8243,51165,0.161106224958468
91788,0,-100,-100
91789,19721,43079,0.457786856705123
91790,4219.600098,44907,0.0939630814349656
91791,14670.2998,32414,0.452591466650213
91792,0,30854,0
91801,2191.5,52735,0.0415568408078126
91803,1721.599976,30322,0.05677725664534
91901,29332.19922,17403,1.68546797793484
91902,10276,17653,0.582110689401235
91903,0,-100,-100
91905,0,1700,0
91906,0,3627,0
91909,0,-100,-100
91910,22238.40039,75802,0.29337485013588
91911,14471.60059,82999,0.1743587343221
91913,7050.599609,40971,0.172087564594469
91914,8754.599609,15448,0.56671411244174
91915,0,24659,0
91916,0,1622,0
91917,0,992,0
91931,0,592,0
91932,5019.299805,25718,0.195166801656427
91934,0,737,0
91935,38358.19922,8624,4.4478431377551
91941,40913.60156,31779,1.28744144120331
91942,0,38069,0
91944,0,-100,-100
91945,4204.400391,25460,0.16513748589945
91948,0,78,0
91950,0,60322,0
91962,0,1646,0
91963,0,1118,0
91977,15814.80078,58368,0.270949848889803
91978,6242.799805,8896,0.701753575202338
92003,0,4746,0
92004,18382.19922,3881,4.73645947436228
92007,13654.80078,10429,1.30931065106913
92008,2235.800049,27649,0.0808636858114218
92009,30463.5,40747,0.747625592068128
92010,3317.400146,14382,0.23066333931303
92011,3746.400146,22405,0.167212682258424
92014,9994.400391,13154,0.759799330317774
92019,10715.10059,42598,0.251539992253157
92020,52784.69922,57767,0.913751782505583
92021,25808.59961,65068,0.396640431702219
92023,0,-100,-100
92024,19732.09961,49121,0.401703947598787
92025,27274.59961,49978,0.545732114330305
92026,4941,48922,0.100997506234414
92027,6496.200195,53881,0.120565694679015
92028,67739,46239,1.4649754536214
92029,12620,19021,0.663477209400137
92036,12103.59961,3440,3.51848825872093
92037,24092,46781,0.514995404117056
92040,34091.60156,41281,0.825842435018532
92049,0,-100,-100
92054,3241.800049,40375,0.0802922612755418
92056,3483,51835,0.0671939809009357
92057,10026.59961,54096,0.185348262533274
92058,0,42436,0
92059,0,1618,0
92061,4025.700195,2499,1.61092444777911
92064,60702.89844,47904,1.26717807364729
92065,119503.7031,35414,3.37447628339075
92066,0,378,0
92067,13139.2002,9535,1.37799687467226
92069,0,46369,0
92070,0,1245,0
92071,12444.7002,53422,0.232950847965258
92075,25281.59961,12056,2.0970139026211
92078,12105.40039,42906,0.282137705449121
92081,17683.59961,27404,0.645292643774631
92082,22533.90039,19037,1.18368967747019
92083,5367.600098,36975,0.145168359648411
92084,23543.59961,47654,0.494052956939606
92086,0,1573,0
92091,0,1048,0
92101,4679.200195,37095,0.126140994608438
92102,0,43267,0
92103,36123.5,31066,1.16279855790897
92104,8787,44414,0.197843022470392
92105,2635.199951,69813,0.0377465507999943
92106,5943.300293,19330,0.307465095344025
92107,5078.399902,28651,0.177250354333182
92108,0,18858,0
92109,47446,45787,1.03623299189726
92110,1323.600098,25341,0.0522315653683754
92111,9386.699219,45096,0.208149264214121
92112,0,-100,-100
92113,0,56066,0
92114,9370.799805,65433,0.143212137682821
92115,11637.60059,58560,0.198729518271858
92116,10869.40039,31680,0.343099759785354
92117,30320.69922,51332,0.590678314112055
92118,20441.59961,23575,0.867088000424178
92119,0,23057,0
92120,42902.5,26317,1.63022000987955
92121,15924.7998,4179,3.81067236180905
92122,9854.400391,43728,0.22535675976491
92123,16521.5,26823,0.615945270849644
92124,13048.59961,30443,0.428623972998719
92126,2856.599854,73343,0.0389485002522395
92127,28403.79883,39337,0.722063167755548
92128,3483,47490,0.0733417561591914
92129,29530.70117,51536,0.573011121740143
92130,41134.80078,48940,0.840514932161831
92131,4759.200195,32787,0.145155097904657
92139,0,35125,0
92154,1887.600098,79708,0.0236814384754353
92173,0,29429,0
92177,0,-100,-100
92199,0,-100,-100
92210,0,4677,0
92211,7492.800293,24294,0.308421844611838
92220,0,31638,0
92221,10735.2002,-100,-100
92223,0,43605,0
92225,5223.899902,24310,0.214886873796791
92234,18061.40039,51151,0.35309965377021
92240,14784.59961,34722,0.425799193882841
92241,0,8803,0
92252,0,9647,0
92256,0,3588,0
92260,85821.79688,31753,2.70279333858218
92262,46900.10156,26179,1.79151616028114
92263,0,-100,-100
92264,49406.40234,19383,2.54895539080638
92266,2505.600098,234,10.7076927264957
92268,0,574,0
92270,153654.2031,17220,8.92300831010453
92277,7558.200195,23911,0.316097201915436
92282,0,1239,0
92284,0,25095,0
92285,0,2632,0
92301,0,32725,0
92305,0,535,0
92307,60229.80078,37630,1.60057934573479
92308,23516,39837,0.590305494891684
92310,0,8845,0
92311,11135,31894,0.349125227315483
92313,0,12025,0
92314,0,10162,0
92316,9423.200195,30830,0.305650346902368
92317,0,-100,-100
92320,5575.899902,7788,0.715960439393939
92324,0,56505,0
92325,0,9391,0
92331,0,-100,-100
92332,0,65,0
92335,0,95397,0
92336,0,88419,0
92337,13671.90039,37849,0.361222235461967
92338,0,12,0
92340,0,-100,-100
92341,0,410,0
92342,0,6379,0
92344,0,20769,0
92345,0,78715,0
92346,0,54923,0
92347,0,1692,0
92350,0,-100,-100
92352,12272.40039,8004,1.53328340704648
92354,5611.5,21559,0.260285727538383
92356,0,6455,0
92358,0,707,0
92359,2712.599854,8103,0.334764883870172
92360,2892.599854,-100,-100
92363,0,5321,0
92364,0,90,0
92365,0,2637,0
92368,0,1113,0
92371,11395.80078,16763,0.679818694744378
92372,5259.600098,6220,0.845594871061093
92373,51164.80078,33423,1.5308261011878
92374,9800,40267,0.24337546874612
92376,7204,81516,0.0883752882869621
92377,1976.399902,19989,0.0988743760068038
92382,0,5268,0
92391,0,2534,0
92392,13675.7998,54858,0.249294538627001
92394,2483.700195,33237,0.0747269667840058
92395,0,42400,0
92397,0,4894,0
92398,8752.800781,1379,6.34720868817984
92399,19811.80078,52606,0.376607245941528
92401,0,1932,0
92404,0,58271,0
92405,0,28873,0
92407,0,56689,0
92408,0,15271,0
92410,0,49410,0
92411,0,26214,0
92501,0,20970,0
92503,7000,84519,0.0828216140749417
92504,10449,53778,0.194298783889323
92506,0,44001,0
92507,9350.400391,58002,0.161208240939968
92508,0,35000,0
92509,5950,75196,0.0791265492845364
92530,0,50216,0
92532,0,18644,0
92536,4322.400391,3810,1.13448829160105
92543,6820,33555,0.203248398152287
92544,44708.40234,44734,0.999427780659007
92545,0,39457,0
92546,0,-100,-100
92548,0,6643,0
92549,0,3926,0
92551,3483,30815,0.113029368813889
92553,0,73722,0
92554,0,-100,-100
92555,4257,39076,0.108941549800389
92557,8611.800781,50320,0.17114071504372
92561,0,1661,0
92562,51640.69922,62079,0.831854559835049
92563,33072,53892,0.613671788020485
92567,7730.799805,9459,0.817295676604292
92570,0,53697,0
92571,0,52516,0
92581,0,-100,-100
92582,0,15649,0
92583,10614.40039,30236,0.35105173931737
92584,11940,43400,0.275115207373272
92585,10273.7002,17797,0.577271461482272
92586,12569.7998,19815,0.634357799646732
92587,15109.2002,16675,0.906098962518741
92589,0,-100,-100
92590,0,3660,0
92591,22981,38272,0.600465091973244
92592,16312.90039,72492,0.225030353556255
92595,40385.30078,29851,1.35289607651335
92596,8769.5,23172,0.378452442603142
92602,0,22871,0
92603,22105.69922,20184,1.09520903785176
92604,3865.399902,26853,0.143946668975533
92605,6450.5,-100,-100
92606,4976.100098,21495,0.231500353477553
92607,0,-100,-100
92609,0,-100,-100
92610,0,11248,0
92612,0,27522,0
92614,9924.199219,24748,0.401010151082916
92617,3280.200195,14044,0.233565949515807
92618,0,16366,0
92620,0,38486,0
92624,0,7248,0
92625,0,12478,0
92626,28137.90039,49341,0.570274222046574
92627,20056.5,61510,0.326068931880995
92629,0,25756,0
92630,0,59182,0
92637,5151.300293,16012,0.321714982075943
92646,44949.30078,55224,0.813945038026945
92647,11723,57245,0.204786444230937
92648,5160.399902,45317,0.11387337868791
92649,13182.40039,32463,0.406074620028956
92650,0,-100,-100
92651,6741,23881,0.282274611615929
92652,2982,-100,-100
92653,12615.2998,29291,0.430688600594039
92655,0,8337,0
92656,0,49046,0
92657,0,9741,0
92660,0,34797,0
92661,0,3744,0
92662,0,2756,0
92663,0,21649,0
92672,10606.7998,34464,0.307764618152275
92673,0,29309,0
92675,0,34731,0
92676,0,1945,0
92677,7451.700195,63297,0.117725961656951
92678,0,494,0
92679,11920,32611,0.365520836527552
92683,12409,89747,0.138266460160228
92688,20285.90039,43792,0.463233019501279
92691,20111.19922,47582,0.422664016224623
92692,12149.7002,47222,0.257288979712846
92694,0,21944,0
92701,0,53908,0
92703,0,65445,0
92704,0,88123,0
92705,16918.30078,44706,0.37843467946137
92706,17594.59961,36457,0.482612381984255
92707,2580.199951,59492,0.0433705363914476
92708,18495.20117,56004,0.330247860331405
92727,0,-100,-100
92757,0,-100,-100
92780,7095.599609,57741,0.122886676867391
92782,3718,23032,0.161427579020493
92801,0,62068,0
92804,0,85914,0
92807,0,36171,0
92821,11813.40039,35533,0.332462792052458
92823,0,3613,0
92831,9946.200195,34204,0.290790556513858
92832,0,24752,0
92833,9834.400391,51767,0.189974315509881
92835,0,24010,0
92840,2505.600098,54083,0.0463287927444853
92841,2483.700195,32845,0.0756188215862384
92843,5306.399902,45214,0.117361876896536
92844,0,24307,0
92845,0,16333,0
92856,0,-100,-100
92860,0,27198,0
92861,3124,5781,0.540390935824252
92862,0,-100,-100
92865,0,19704,0
92866,0,14885,0
92867,7177.399902,44515,0.161235536380995
92868,0,25404,0
92869,21117.30078,37184,0.567913639737522
92870,12460.30078,52033,0.239469198008956
92877,5307.400391,-100,-100
92879,6556.200195,46745,0.140254576853139
92880,5897.600098,58763,0.100362474652417
92881,24676.09961,30991,0.796234378045239
92882,27714.19922,67917,0.408059826258521
92883,12771,29301,0.435855431555237
92885,0,-100,-100
92886,5405.399902,46564,0.116085385748647
92887,4644,20006,0.232130360891732
92911,0,-100,-100
92914,0,-100,-100
93001,3870.300049,32990,0.117317370384965
93003,36669.5,50474,0.726502753893093
93004,3317.400146,29149,0.113808368932039
93006,0,-100,-100
93010,28719.29883,42901,0.669431920701149
93012,50094.60156,34617,1.44710984660716
93013,14286.2002,16091,0.887837934248959
93015,6509.399902,17334,0.375527858659282
93020,0,-100,-100
93021,15351,36422,0.421476030970293
93022,0,6106,0
93023,89630.70313,20589,4.35332959978629
93030,6248,59372,0.105234790810483
93033,0,82728,0
93035,9329.599609,27732,0.336420006094043
93036,0,41691,0
93040,0,2031,0
93041,0,23641,0
93060,0,32811,0
93062,0,-100,-100
93063,11880.40039,54366,0.218526291983961
93065,56756.10156,72508,0.782756407017157
93066,6796.200195,3102,2.19090915377176
93067,0,895,0
93101,5037.799805,31683,0.159006401066818
93103,3096,20249,0.152896439330337
93105,5779.799805,24815,0.232915567398751
93106,0,-100,-100
93108,15154.2002,11112,1.36376891648668
93109,0,10858,0
93110,36289.30078,16829,2.15635514766177
93111,13172.5,17370,0.758347725964306
93117,15078,53217,0.283330514685157
93202,0,4143,0
93203,0,20938,0
93204,0,15529,0
93205,6292,2113,2.97775674396593
93206,0,2300,0
93207,0,263,0
93208,0,104,0
93210,5637.600098,19504,0.289048405352748
93212,0,26079,0
93215,0,55659,0
93219,0,10194,0
93221,22089.19922,14945,1.47803273469388
93222,0,2099,0
93223,0,10604,0
93225,0,5077,0
93226,0,282,0
93227,0,-100,-100
93230,55584.60156,65264,0.851688550502574
93235,0,4559,0
93238,8371.799805,1490,5.61865758724832
93240,7481.399902,6056,1.23536986492734
93241,0,17489,0
93242,5001.600098,3468,1.44221456113033
93244,7905.600098,534,14.8044945655431
93245,17736.69922,37412,0.474091179835347
93247,0,17423,0
93249,0,2739,0
93250,3146,13522,0.23265789084455
93252,0,4176,0
93255,0,614,0
93256,4311.899902,5753,0.749504589257779
93257,15259.2002,75004,0.203445152258546
93261,0,3099,0
93263,23694.80078,19582,1.21002965887039
93265,9540.800781,3699,2.57929191159773
93266,0,1587,0
93267,0,6237,0
93268,5270.399902,16897,0.311913351600876
93270,0,5837,0
93271,15475.7998,2276,6.79956054481547
93272,0,3583,0
93274,30718.30078,69721,0.440588929877655
93276,0,161,0
93277,27543.69922,50607,0.54426658802142
93280,0,27152,0
93282,0,-100,-100
93283,7794.299805,2040,3.82073519852941
93285,0,2536,0
93286,3036,9548,0.317972350230415
93290,6362.400391,-100,-100
93291,45694.5,52849,0.864623739332816
93292,37699.5,39032,0.965861344537815
93301,0,12248,0
93304,9140.400391,48731,0.187568496254951
93305,0,37601,0
93306,28953.90039,64587,0.448293006177714
93307,5552.200195,82658,0.0671707541314815
93308,42379.10156,52447,0.808036714397392
93309,19992.59961,58409,0.34228628481912
93310,5151.300293,-100,-100
93311,16756.19922,40829,0.410399451860197
93312,50661.80078,56741,0.8928605555066
93313,36841.39844,43553,0.845898065345671
93314,59870.90234,22393,2.67364365382039
93401,55230.69922,28033,1.97020294724075
93402,29832,14318,2.08353121944406
93405,13713.2002,35440,0.38694131489842
93420,75968.10156,28413,2.6737092725161
93422,9669.799805,31375,0.30820079059761
93423,0,-100,-100
93424,0,1261,0
93426,0,1401,0
93427,0,5505,0
93428,1879.200073,6314,0.297624338454229
93430,0,2972,0
93432,8923.199219,1384,6.44739827962428
93433,3664.399902,13162,0.278407529402826
93434,0,7110,0
93435,0,-100,-100
93436,0,54017,0
93440,0,2058,0
93441,4162.199707,1530,2.72039196535948
93442,3718,10789,0.344610251181759
93444,17980.30078,19244,0.934332819580129
93445,0,7173,0
93446,52549.19922,43714,1.20211372146223
93447,7665.599609,-100,-100
93449,5037,7657,0.657829437116364
93451,2772.800049,3779,0.733739097380259
93453,0,2899,0
93454,3578.400146,36448,0.0981782305201931
93455,6389,41684,0.153272238748681
93458,0,55431,0
93460,16983.59961,5255,3.23189336060894
93461,0,1623,0
93463,10202.40039,7646,1.33434480643474
93464,0,-100,-100
93465,33805,9153,3.69332459302961
93501,0,5467,0
93505,12832,14038,0.914090326257302
93510,14528.2998,7993,1.81762789941199
93512,0,277,0
93513,0,1763,0
93514,10292.5,13857,0.742765389333911
93516,0,2299,0
93517,0,670,0
93518,0,1146,0
93523,0,3074,0
93527,3718,2387,1.55760368663594
93531,0,509,0
93532,0,2932,0
93534,10803.2002,39341,0.274604107673928
93535,6614,72046,0.0918024595397385
93536,17029.10156,70918,0.240123826955075
93541,0,449,0
93543,4250,13033,0.326095296554899
93544,0,1259,0
93546,2651.400146,9567,0.277140184592871
93550,7295.299805,74929,0.0973628342163915
93551,31940.80078,50798,0.628780676010867
93552,8748,38158,0.229257298600556
93553,0,2138,0
93555,23675.19922,32560,0.727125283169533
93560,9301.599609,18910,0.491887869328398
93561,0,34630,0
93562,0,1818,0
93567,0,-100,-100
93591,0,7285,0
93601,0,1909,0
93602,14381.60059,3862,3.72387379337131
93603,0,222,0
93609,2985.600098,5640,0.529361719503546
93610,16975.59961,23833,0.712272882557798
93611,127390.6016,45614,2.79279610645854
93612,3686.400146,35351,0.104279939633957
